,precision,recall,f1-score,support
Benign,1.0,0.999623373658982,0.9998116513609616,175240.0
Malware,0.0,0.0,0.0,0.0
accuracy,0.999623373658982,0.999623373658982,0.999623373658982,0.999623373658982
macro avg,0.5,0.499811686829491,0.4999058256804808,175240.0
weighted avg,1.0,0.999623373658982,0.9998116513609615,175240.0
