,precision,recall,f1-score,support
Benign,1.0,0.43653484911322,0.6077608898700858,81982.0
Malware,0.0,0.0,0.0,0.0
accuracy,0.43653484911322,0.43653484911322,0.43653484911322,0.43653484911322
macro avg,0.5,0.21826742455661,0.3038804449350429,81982.0
weighted avg,1.0,0.43653484911322,0.6077608898700858,81982.0
